,runstring,m1,m2,m3
171,0000171.bin,2.581457387424882e-06,3.829377874955686e-07,7.282246255065293e-06
172,0000172.bin,1.7406554263613921e-06,6.988121639350392e-07,2.1418689171655687e-06
173,0000173.bin,1.9308691704038435e-06,4.615303824307647e-07,4.519404114743726e-06
174,0000174.bin,1.8143823994598823e-06,2.233160901327098e-07,1.1737095983385883e-06
175,0000175.bin,7.284109603611176e-07,1.852408786626157e-06,3.990553417410784e-06
176,0000176.bin,5.446948244693137e-06,8.249440985079412e-07,4.074188669447256e-06
177,0000177.bin,2.74719181886449e-06,6.704161071675295e-07,1.7049231205981766e-06
178,0000178.bin,1.852408786626157e-06,3.1120613050698044e-07,3.380407562128235e-06
179,0000179.bin,2.0979004706267447e-06,1.635643997802941e-06,1.4438750939834508e-05
180,0000180.bin,8.422335319184902e-07,8.598853226212549e-07,1.1737095983385883e-06
181,0000181.bin,2.2325896362938236e-06,2.86355151547451e-06,4.809558379928824e-06
182,0000182.bin,3.829377874955686e-07,1.301969157203e-06,3.828398281579019e-06
183,0000183.bin,1.3571151921806469e-06,1.0150901184878236e-06,2.528465035642765e-06
184,0000184.bin,7.284109603611176e-07,1.444244546271137e-06,3.990553417410784e-06
185,0000185.bin,1.5691800147637062e-06,7.592634395284313e-07,1.6699243302983136e-06
186,0000186.bin,8.249440985079412e-07,2.581457387424882e-06,1.5369677691715684e-06
187,0000187.bin,1.249063967504294e-06,4.1606411087978434e-07,2.0126528119148433e-06
188,0000188.bin,1.2234230882515098e-06,1.0802608179808823e-06,2.327152910311922e-06
189,0000189.bin,1.275242236228745e-06,1.7771366208366078e-06,1.0578144736767452e-05
190,0000190.bin,8.963065126449606e-07,3.3118615084456866e-07,6.98633400751e-06
191,0000191.bin,3.5244892615986273e-07,2.327152910311922e-06,9.53851080683902e-07
192,0000192.bin,1.5369677691715684e-06,7.436772224253922e-07,1.3855580318720196e-06
193,0000193.bin,6.844668951736863e-07,1.444244546271137e-06,5.796652591870195e-06
194,0000194.bin,6.566537547990588e-07,9.536070759789805e-06,1.6699243302983136e-06
195,0000195.bin,4.4277621126113726e-07,2.4257214939716864e-06,5.446948244693137e-06
196,0000196.bin,7.284109603611176e-07,1.0150901184878236e-06,3.828398281579019e-06
197,0000197.bin,1.8143823994598823e-06,1.3292562292477254e-06,2.2325896362938236e-06
198,0000198.bin,5.679111244445295e-07,7.436772224253922e-07,1.301969157203e-06
199,0000199.bin,2.3759261003461174e-06,7.436772224253922e-07,2.635560369296196e-06
200,0000200.bin,5.798135813357844e-07,1.7406554263613921e-06,1.249063967504294e-06
201,0000201.bin,1.4142351172445294e-05,6.566537547990588e-07,9.536070759789805e-06
202,0000202.bin,1.0580851425037453e-06,3.2438753658235296e-07,8.776824875474117e-06
203,0000203.bin,2.0548346116729805e-06,5.225612870853725e-06,1.0802608179808823e-06
204,0000204.bin,2.2325896362938236e-06,8.080095838857058e-07,1.1737095983385883e-06
205,0000205.bin,3.7498086331307844e-06,1.7406554263613921e-06,4.519404114743726e-06
206,0000206.bin,1.444244546271137e-06,2.3759261003461174e-06,2.8047683141909795e-06
207,0000207.bin,5.336498010569216e-07,3.381272525667451e-07,3.672832278942157e-06
208,0000208.bin,2.9235667132941175e-06,1.0580851425037453e-06,3.4512551887258826e-06
209,0000209.bin,9.536070759789805e-06,2.3759261003461174e-06,6.29809641531098e-06
210,0000210.bin,5.919654935984706e-07,4.4277621126113726e-07,2.528465035642765e-06
211,0000211.bin,8.422335319184902e-07,9.942522720410394e-07,3.990553417410784e-06
212,0000212.bin,1.249063967504294e-06,3.381272525667451e-07,3.11126520848e-06
